
Cut and paste of the bet table at https://bitbet.us/bet/1249/alphago-will-defeat-lee-sedol-overall-in-march/

CONFIRMED BETS: 148.80 BTC
TIME    BET     WEIGHT  BTC IN  IN  BTC OUT     OUT      
08-03-16 03:57  Yes     3`239   0.10000000  1432W   0.10626423  18M2t   
08-03-16 04:17  No  3`184   0.02000000  14378   0.00000000  158iz   
08-03-16 04:23  No  3`170   2.00000000  143AA   0.00000000  1Fr8q   
08-03-16 04:43  Yes     3`116   0.05000000  143CY   0.05299419  1PDxf   
08-03-16 05:12  Yes     3`038   0.00743565  143Gs   0.00786791  1LT2b   
08-03-16 05:12  No  3`038   0.01000000  143fu   0.00000000  1EuDW   
08-03-16 06:06  No  2`892   0.05114439  143kK   0.00000000  1Gf56   
08-03-16 06:33  Yes     2`820   0.05000000  143M9   0.05266226  1HBjk   
08-03-16 08:13  No  2`551   0.45585936  143Tc   0.00000000  1GRF6   
08-03-16 09:37  No  2`324   0.18900000  143yv   0.00000000  1Kk2a   
08-03-16 10:00  No  2`260   5.00000000  14412   0.00000000  17w1w   
08-03-16 11:09  No  2`076   0.02000000  1449L   0.00000000  16dax   
08-03-16 11:20  No  2`046   0.10000000  144Dy   0.00000000  1L6jq   
08-03-16 11:20  No  2`046   0.14870000  1434M   0.00000000  3GNyt   
08-03-16 11:33  No  2`012   3.82075928  144MH   0.00000000  38TkQ   
08-03-16 12:45  Yes     1`818   0.04880000  144Rn   0.05030172  18uB7   
08-03-16 13:07  Yes     1`759   0.12940000  144Y8   0.13321080  1ByDn   
08-03-16 13:40  Yes     1`668   0.01990000  1452F   0.02044543  1FByM   
08-03-16 13:45  Yes     1`656   0.50000000  1453j   0.51356990  1HBjk   
08-03-16 13:54  No  1`630   0.50000000  14557   0.00000000  1FveB   
08-03-16 16:56  Yes     1`142   2.99800000  145qC   3.04480510  1NVm8   
08-03-16 16:56  No  1`142   0.10000000  145ng   0.00000000  1hEWn   
08-03-16 16:56  No  1`142   0.06000000  145Ef   0.00000000  1P2G1   
08-03-16 17:23  Yes     1`070   0.04500000  145U3   0.04562988  3Km8h   
08-03-16 20:45  Yes     524     0.01988990  146Eq   0.01992474  1Jsdy   
08-03-16 21:00  Yes     483     4.85000000  146jV   4.85403734  1nN7x   
08-03-16 21:22  Yes     424     10.00000000     146q3   9.99509224  1Pyzx   
08-03-16 21:37  No  384     0.07000000  1471p   0.00000000  17bCk   
08-03-16 22:06  No  307     1.83235000  147bh   0.00000000  1Caap   
08-03-16 22:35  Yes     227     0.05000000  147CB   0.04975455  1e985   
08-03-16 22:51  No  184     0.01000000  147Fk   0.00000000  1FD8A   
08-03-16 23:41  No  50  0.50000000  147JU   0.00000000  18ztn
